tag,p,risk_score,quintile,logOR_mean,logOR_2.5%,logOR_97.5%
AN,F5100,PGS_single_GWAS,Q4,0.8,0.66,0.95
AN,F5100,PGS_single_GWAS,Q5,1.13,0.96,1.25
AN,F5100,PGS_single_GWAS,Q3,0,0,0
AN,F5100,MultiPGS_xgboost,Q1,-0.78,-0.92,-0.63
AN,F5100,MultiPGS_xgboost,Q2,-0.17,-0.64,0.18
AN,F5100,MultiPGS_xgboost,Q4,0.72,0.56,0.86
AN,F5100,MultiPGS_xgboost,Q5,1.2,1.05,1.42
AN,F5100,MultiPGS_xgboost,Q3,0,0,0
ASD,F8101,MultiPGS_lasso,Q1,-1.21,-1.28,-1.14
ASD,F8101,MultiPGS_lasso,Q2,-0.48,-0.53,-0.33
ASD,F8101,MultiPGS_lasso,Q4,0.53,0.45,0.61
ASD,F8101,MultiPGS_lasso,Q5,1.07,1,1.24
ASD,F8101,MultiPGS_lasso,Q3,0,0,0
ASD,F8101,MultiPGS_lassoPGS_xgboostCOV,Q1,-1.23,-1.33,-1.13
ASD,F8101,MultiPGS_lassoPGS_xgboostCOV,Q2,-0.52,-0.58,-0.44
ASD,F8101,MultiPGS_lassoPGS_xgboostCOV,Q4,0.39,0.26,0.47
ASD,F8101,MultiPGS_lassoPGS_xgboostCOV,Q5,0.93,0.78,1.11
ASD,F8101,MultiPGS_lassoPGS_xgboostCOV,Q3,0,0,0
ASD,F8101,PGS_single_GWAS,Q1,-0.28,-0.46,-0.12
ASD,F8101,PGS_single_GWAS,Q2,0.03,-0.03,0.1
ASD,F8101,PGS_single_GWAS,Q4,0.42,0.23,0.58
ASD,F8101,PGS_single_GWAS,Q5,0.44,0.14,0.6
ASD,F8101,PGS_single_GWAS,Q3,0,0,0
ASD,F8101,MultiPGS_xgboost,Q1,-0.82,-0.94,-0.75
ASD,F8101,MultiPGS_xgboost,Q2,-0.35,-0.39,-0.31
ASD,F8101,MultiPGS_xgboost,Q4,0.32,0.21,0.43
ASD,F8101,MultiPGS_xgboost,Q5,0.66,0.54,0.78
