tag,p,PGS,quintile,logOR_mean,logOR_2.5%,logOR_97.5%
AN,F5100,MultiPGS_lasso_excluding_single_GWAS,Q1,-0.67,-0.77,-0.52
AN,F5100,MultiPGS_lasso_excluding_single_GWAS,Q2,-0.24,-0.31,-0.14
AN,F5100,MultiPGS_lasso_excluding_single_GWAS,Q4,0.25,0.16,0.42
AN,F5100,MultiPGS_lasso_excluding_single_GWAS,Q5,0.61,0.52,0.71
AN,F5100,MultiPGS_lasso_excluding_single_GWAS,Q3,0,0,0
AN,F5100,PGS_single_GWAS,Q1,-0.47,-0.65,-0.3
AN,F5100,PGS_single_GWAS,Q2,-0.14,-0.27,0.06
AN,F5100,PGS_single_GWAS,Q4,0.12,-0.01,0.23
AN,F5100,PGS_single_GWAS,Q5,0.49,0.35,0.63
AN,F5100,PGS_single_GWAS,Q3,0,0,0
ASD,F8101,PGS_BLUP,Q1,-0.46,-0.51,-0.38
ASD,F8101,PGS_BLUP,Q2,-0.15,-0.28,0.01
ASD,F8101,PGS_BLUP,Q4,0.17,0.12,0.25
ASD,F8101,PGS_BLUP,Q5,0.44,0.35,0.5
ASD,F8101,PGS_BLUP,Q3,0,0,0
ASD,F8101,MultiPGS_lasso_including_single_GWAS,Q1,-0.62,-0.69,-0.55
ASD,F8101,MultiPGS_lasso_including_single_GWAS,Q2,-0.24,-0.35,-0.14
ASD,F8101,MultiPGS_lasso_including_single_GWAS,Q4,0.28,0.19,0.35
ASD,F8101,MultiPGS_lasso_including_single_GWAS,Q5,0.65,0.57,0.78
ASD,F8101,MultiPGS_lasso_including_single_GWAS,Q3,0,0,0
ASD,F8101,MultiPGS_lasso_excluding_single_GWAS,Q1,-0.6,-0.69,-0.52
ASD,F8101,MultiPGS_lasso_excluding_single_GWAS,Q2,-0.22,-0.29,-0.09
ASD,F8101,MultiPGS_lasso_excluding_single_GWAS,Q4,0.28,0.25,0.33
ASD,F8101,MultiPGS_lasso_excluding_single_GWAS,Q5,0.65,0.59,0.73
ASD,F8101,MultiPGS_lasso_excluding_single_GWAS,Q3,0,0,0
ASD,F8101,PGS_single_GWAS,Q1,-0.15,-0.2,-0.09
ASD,F8101,PGS_single_GWAS,Q2,-0.06,-0.13,0
ASD,F8101,PGS_single_GWAS,Q4,0.11,0.05,0.21
ASD,F8101,PGS_single_GWAS,Q5,0.24,0.18,0.31
ASD,F8101,PGS_single_GWAS,Q3,0,0,0
ADHD,F9201,PGS_BLUP,Q1,-0.69,-0.72,-0.64
ADHD,F9201,PGS_BLUP,Q2,-0.25,-0.31,-0.13
ADHD,F9201,PGS_BLUP,Q4,0.25,0.19,0.35
ADHD,F9201,PGS_BLUP,Q5,0.69,0.65,0.77
ADHD,F9201,PGS_BLUP,Q3,0,0,0
ADHD,F9201,MultiPGS_lasso_including_single_GWAS,Q1,-0.96,-1.01,-0.85
ADHD,F9201,MultiPGS_lasso_including_single_GWAS,Q2,-0.38,-0.45,-0.28
ADHD,F9201,MultiPGS_lasso_including_single_GWAS,Q4,0.38,0.28,0.47
ADHD,F9201,MultiPGS_lasso_including_single_GWAS,Q5,0.96,0.87,0.99
ADHD,F9201,MultiPGS_lasso_including_single_GWAS,Q3,0,0,0
ADHD,F9201,MultiPGS_lasso_excluding_single_GWAS,Q1,-0.96,-1.04,-0.89
ADHD,F9201,MultiPGS_lasso_excluding_single_GWAS,Q2,-0.4,-0.45,-0.34
ADHD,F9201,MultiPGS_lasso_excluding_single_GWAS,Q4,0.36,0.27,0.46
ADHD,F9201,MultiPGS_lasso_excluding_single_GWAS,Q5,0.93,0.84,1.01
ADHD,F9201,MultiPGS_lasso_excluding_single_GWAS,Q3,0,0,0
ADHD,F9201,PGS_single_GWAS,Q1,-0.31,-0.36,-0.28
ADHD,F9201,PGS_single_GWAS,Q2,-0.13,-0.17,-0.1
ADHD,F9201,PGS_single_GWAS,Q4,0.09,0.02,0.19
ADHD,F9201,PGS_single_GWAS,Q5,0.27,0.2,0.32
ADHD,F9201,PGS_single_GWAS,Q3,0,0,0
